Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2890.719971,2914.810059,2873.110107,2892.389893,2892.389893,0
2017-01-04,2896.489990,2907.840088,2892.010010,2902.199951,2902.199951,0
2017-01-05,2902.810059,2920.449951,2897.510010,2908.149902,2908.149902,0
2017-01-06,2910.080078,2935.360107,2896.790039,2930.179932,2930.179932,0
2017-01-09,2936.760010,2953.669922,2936.760010,2948.250000,2948.250000,0
2017-01-10,2953.199951,2971.159912,2951.360107,2959.929932,2959.929932,0
2017-01-11,2957.760010,2974.520020,2953.520020,2974.520020,2974.520020,0
2017-01-12,2959.159912,2963.389893,2924.989990,2961.780029,2961.780029,0
2017-01-13,2965.270020,2983.879883,2964.520020,2979.189941,2979.189941,0
2017-01-17,2970.030029,2975.100098,2948.290039,2958.489990,2958.489990,0
2017-01-18,2963.959961,2983.800049,2961.290039,2981.639893,2981.639893,0
2017-01-19,2982.050049,2996.530029,2971.280029,2974.810059,2974.810059,0
2017-01-20,2994.270020,3013.780029,2993.840088,3002.439941,3002.439941,0
2017-01-23,2995.479980,3006.110107,2977.889893,2997.790039,2997.790039,0
2017-01-24,3018.189941,3051.280029,3017.459961,3045.820068,3045.820068,0
2017-01-25,3083.330078,3094.250000,3075.360107,3086.889893,3086.889893,0
2017-01-26,3083.530029,3085.389893,3057.699951,3064.879883,3064.879883,0
2017-01-27,3080.300049,3099.250000,3080.179932,3098.649902,3098.649902,0
2017-01-30,3082.770020,3083.310059,3054.060059,3082.709961,3082.709961,0
2017-01-31,3070.770020,3071.959961,3050.350098,3069.020020,3069.020020,0
2017-02-01,3090.889893,3096.919922,3064.050049,3082.020020,3082.020020,0
2017-02-02,3067.120117,3095.870117,3056.530029,3093.870117,3093.870117,0
2017-02-03,3105.050049,3115.399902,3101.699951,3113.669922,3113.669922,0
2017-02-06,3109.110107,3116.159912,3103.600098,3114.199951,3114.199951,0
2017-02-07,3123.899902,3131.949951,3116.479980,3131.820068,3131.820068,0
2017-02-08,3130.010010,3134.889893,3110.979980,3130.169922,3130.169922,0
2017-02-09,3137.360107,3147.760010,3128.790039,3130.389893,3130.389893,0
2017-02-10,3134.360107,3137.860107,3107.820068,3125.239990,3125.239990,0
2017-02-13,3138.510010,3147.000000,3133.260010,3143.229980,3143.229980,0
2017-02-14,3135.560059,3138.129883,3119.080078,3134.489990,3134.489990,0
2017-02-15,3137.360107,3157.870117,3129.040039,3154.889893,3154.889893,0
2017-02-16,3167.959961,3177.679932,3159.370117,3175.189941,3175.189941,0
2017-02-17,3166.370117,3186.280029,3155.189941,3186.280029,3186.280029,0
2017-02-21,3192.739990,3208.060059,3191.179932,3206.350098,3206.350098,0
2017-02-22,3201.560059,3211.560059,3194.659912,3210.020020,3210.020020,0
2017-02-23,3210.810059,3211.489990,3171.629883,3187.909912,3187.909912,0
2017-02-24,3160.399902,3196.790039,3154.699951,3196.790039,3196.790039,0
2017-02-27,3190.620117,3203.800049,3184.659912,3203.510010,3203.510010,0
2017-02-28,3199.879883,3201.300049,3181.159912,3187.540039,3187.540039,0
2017-03-01,3216.419922,3236.929932,3198.300049,3233.610107,3233.610107,0
2017-03-02,3229.850098,3230.939941,3203.250000,3207.810059,3207.810059,0
2017-03-03,3206.040039,3214.620117,3198.820068,3213.870117,3213.870117,0
2017-03-06,3197.439941,3211.659912,3185.350098,3206.719971,3206.719971,0
2017-03-07,3200.919922,3218.469971,3193.620117,3204.500000,3204.500000,0
2017-03-08,3210.040039,3221.379883,3203.879883,3210.649902,3210.649902,0
2017-03-09,3203.389893,3211.879883,3186.719971,3206.320068,3206.320068,0
2017-03-10,3227.020020,3236.889893,3215.870117,3232.080078,3232.080078,0
2017-03-13,3234.030029,3260.270020,3233.709961,3258.060059,3258.060059,0
2017-03-14,3250.280029,3250.709961,3223.620117,3242.860107,3242.860107,0
2017-03-15,3247.379883,3270.120117,3233.169922,3265.659912,3265.659912,0
